cod;f_aquis;PESO;PESO_FINAL;RENDA_TOTAL;Região;UCKey;IndKey;COD_INFORMANTE;FATOR_ANUALIZACAO;Codigo;VALOR_MES;Valor_ANO;Ded_IR;Modalidade1;Modalidade2;DIRPF;Modelo;Faixa_BC;Faixa_BC_inst;EDU_Ded_IR_UC;Ben_trib_Edu;Gast_Trib;Centil;Decil;Quintil;S_VALOR_MES;S_Valor_ANO;S_Ded_IR;S_Gast_Trib
4900301;1;449,91150552;690,88373818;11569,64;1;1110000016081;111000001608101;1;1;49003;200,00;2400,00;2400,00;Ensino Fundamental regular;Ensino Fundamental;1;1;4;4; 3.301,25 ; 742,78 ; 540,00 ;88;9;5; 138.176,75 ; 1.658.120,97 ; 1.658.120,97 ; 373.077,22 
4900801;1;449,91150552;690,88373818;11569,64;1;1110000016081;111000001608104;4;1;49008;75,10;901,25;901,25;Ensino Superior;Educação Superior;1;1;4;4; 3.301,25 ; 742,78 ; 202,78 ;88;9;5; 51.888,25 ; 622.658,97 ; 622.658,97 ; 140.098,27 
4900301;1;427,37593555;656,27813545;8165,33;1;1110000584031;111000058403103;3;1;49003;92,71;1112,50;1112,50;Ensino Fundamental regular;Ensino Fundamental;1;0;;; -   ; -   ; -   ;73;8;4; 60.842,45 ; 730.109,43 ; 730.109,43 ; -   
4900101;1;427,37593555;656,27813545;7863,21;1;1110000584061;111000058406103;3;1;49001;380,00;4560,00;3561,50;Creche;Educação infantil;1;0;;; -   ; -   ; -   ;67;7;4; 249.385,69 ; 2.992.628,30 ; 2.337.334,58 ; -   
4900901;1;427,37593555;656,27813545;7863,21;1;1110000584061;111000058406103;3;1;49009;251,81;3021,70;3021,70;Ensino Superior;Educação Superior;1;0;;; -   ; -   ; -   ;67;7;4; 165.256,30 ; 1.983.075,64 ; 1.983.075,64 ; -   
4901001;1;427,37593555;656,27813545;9024,12;1;1110000584091;111000058409101;1;1;49010;151,71;1820,46;1820,46;Especialização;Educação Superior;1;0;;; -   ; -   ; -   ;80;8;4; 99.560,67 ; 1.194.728,09 ; 1.194.728,09 ; -   
4900301;1;427,37593555;656,27813545;2047,99;1;1110000584111;111000058411102;2;1;49003;273,00;3276,00;3276,00;Ensino Fundamental regular;Ensino Fundamental;0;0;;; -   ; -   ; -   ;32;4;2; 179.163,93 ; 2.149.967,17 ; 2.149.967,17 ; -   
4900901;2;296,86967923;405,88374843;5772,36;1;1110000602051;111000060205101;1;1;49009;308,76;3705,10;3561,50;Ensino Superior;Educação Superior;1;0;;; -   ; -   ; -   ;88;9;5; 125.319,99 ; 1.503.839,88 ; 1.445.554,97 ; -   
4900901;1;296,86967923;405,88374843;5659,24;1;1110000602061;111000060206101;1;1;49009;168,59;2023,02;2023,02;Ensino Superior;Educação Superior;1;0;;; -   ; -   ; -   ;87;9;5; 68.425,91 ; 821.110,94 ; 821.110,94 ; -   
4900901;1;707,69230769;967,56532132;2721,33;1;1110000620071;111000062007102;2;1;49009;963,93;11567,16;3561,50;Ensino Superior;Educação Superior;0;0;;; -   ; -   ; -   ;40;4;2; 932.665,24 ; 11.191.982,88 ; 3.445.983,89 ; -   
